ActorID,BirthDate,Name,TotalAudiences
10043730,19750604,안젤리나 졸리,26732202
10043877,19601010,안토니오 반데라스,4304296
10043964,19890311,안톤 옐친,7262203
10044014,19760421,안희성,1003026
10044278,19710316,알란 터딕,2801949
10044466,19580403,알렉 볼드윈,10562500
10044479,19820528,알렉사 다바로스,2642483
10044541,19760825,알렉산더 스카스가드,2241687
20131254,19860816,알렉산드리아 다다리오,1716455
10045066,19851127,알리슨 필,9349993
20166160,19881003,알리시아 비칸데르,2611966
10045160,19470722,알버트 브룩스,2601734
10041293,19790318,애덤 리바인,3427524
10041321,19721111,애덤 비치,1898220
20128630,19830506,애드리앤 팰리키,1855917
10045530,19730414,애드리언 브로디,3469311
10041659,19900613,애런 존슨,10494499
10046315,19870612,애비 리,3843343
10045585,19780207,애쉬튼 커처,957116
10045773,19821112,앤 해서웨이,30462476
10045975,19780823,앤드류 라넬스,3610564
20167040,19811027,앤드리아 리즈브로프,1515356
10046099,19640420,앤디 서키스,6607684
10046157,19730225,앤슨 마운트,2084482
10017628,19841223,앨리슨 수돌,4662534
10046287,19591119,앨리슨 제니,2718158
10046464,19641020,야마구치 토모코,1117846
10046888,19790601,양동근,2254071
20133564,19770711,양명헌,6684933
10046994,19680000,양영조,2367942
10047042,19620806,양자경,849251
10047067,19620627,양조위,6153810
10047098,19790903,양진우,2036035
10047116,19390323,양택조,1301582
10047315,19760313,엄기준,2213767
10047326,19711229,엄상현,1065967
